Sklep;Nazwa;Model;Cena;Data;Procesor;Pamięć RAM;System operacyjny;Przekątna;Rozdzielczość;Matryca
MediaMarkt;APPLE;mini 8.3 (2021) 64GB Wi-Fi;2939;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (2022) 256GB Wi-Fi;4489;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (2021) 256GB Wi-Fi;3859;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 1TB Wi-Fi;9149;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi;2799;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi+Cellular;3539;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi+Cellular Księżycowa;4199;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi+Cellular;4289;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi Gwiezdna;3539;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 128GB Wi-Fi;6599;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi+Cellular;4199;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 256GB Wi-Fi;3779;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi;2789;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 256GB Wi-Fi;7249;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;SAMSUNG;Tab S7 FE 12.4;2299;2023.06.24;Qualcomm Snapdragon 778G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;SAMSUNG;Tab S8;3999;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"11""";2560 x 1600;LTPS
MediaMarkt;SAMSUNG;Tab S8+;5299;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;APPLE;Pro 11 (4 gen.) 256GB Wi-Fi;5469;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi+Cellular;3569;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi+Cellular;3569;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 128GB Wi‑Fi+Cellular;5679;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi+Cellular Gwiezdna;4299;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi;2789;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (5 gen.) 128GB Wi-Fi+Cellular Gwiezdna;6297;2023.06.24;Apple M1;8 GB;iPadOS 14;"12.9""";2732 x 2048;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 256GB Wi-Fi;3829;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 128GB Wi-Fi+Cellular;7929;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 256GB Wi-Fi+Cellular Gwiezdna;8339;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi Księżycowa;2699;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 512GB Wi-Fi Gwiezdna;8439;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
